GROUPO,AÑO,MIN,MAX,MED,LAST
-1840477429,2016,"2016-10-18 00:00:00","2016-11-22 00:00:00",4.5000,43
-1834598217,2013,"2013-09-06 00:00:00","2013-11-01 00:00:00",4.3846,1160
-1834598217,2014,"2014-04-02 00:00:00","2014-06-18 00:00:00",6.0000,931
-1834598217,2015,"2015-04-06 00:00:00","2015-05-18 00:00:00",3.3077,597
-1834598217,2016,"2016-03-30 00:00:00","2016-06-21 00:00:00",6.4615,197
-1823926556,2016,"2016-12-27 00:00:00","2016-12-31 00:00:00",2.5000,4
-1823926556,2017,"2017-01-02 00:00:00","2017-01-02 00:00:00",1.0000,2
-1821211780,2016,"2016-10-12 00:00:00","2016-12-21 00:00:00",7.8889,14
-1818430251,2016,"2016-04-01 00:00:00","2016-10-07 00:00:00",17.2727,89
-1815589353,2014,"2014-12-11 00:00:00","2014-12-14 00:00:00",0.5000,752
-1815589353,2015,"2015-05-10 00:00:00","2015-07-15 00:00:00",6.7000,539
-1815589353,2016,"2016-05-10 00:00:00","2016-06-29 00:00:00",5.6667,189
-1799108446,2016,"2016-07-22 00:00:00","2016-12-09 00:00:00",5.6400,26
-1795644308,2016,"2016-11-18 00:00:00","2016-12-20 00:00:00",4.7143,15
-1780854229,2015,"2015-03-19 00:00:00","2015-03-29 00:00:00",0.5500,647
-1774986294,2016,"2016-04-02 00:00:00","2016-04-02 00:00:00",0.0625,277
-1752407417,2016,"2016-04-07 00:00:00","2016-05-19 00:00:00",5.3750,230
-1734757769,2016,"2016-09-24 00:00:00","2016-12-09 00:00:00",7.7000,26
-1728049459,2013,"2013-10-03 00:00:00","2013-12-12 00:00:00",7.1000,1119
-1728049459,2014,"2014-05-22 00:00:00","2014-07-24 00:00:00",6.4000,895
-1728049459,2015,"2015-06-04 00:00:00","2015-07-30 00:00:00",5.7000,524
-1728049459,2016,"2016-04-10 00:00:00","2016-05-29 00:00:00",6.2500,220
-1727875419,2016,"2016-04-08 00:00:00","2016-04-29 00:00:00",5.5000,250
-1714985877,2015,"2015-01-23 00:00:00","2015-01-26 00:00:00",0.4444,709
-1714291031,2016,"2016-08-14 00:00:00","2016-12-11 00:00:00",6.0000,24
-1712162751,2016,"2016-07-06 00:00:00","2016-07-06 00:00:00",1.0000,182
-1705823161,2016,"2016-11-19 00:00:00","2016-12-25 00:00:00",9.2500,10
-1698023622,2016,"2016-08-20 00:00:00","2016-08-20 00:00:00",1.0000,137
-1695640084,2015,"2015-05-14 00:00:00","2015-10-23 00:00:00",10.1875,439
-1692535925,2012,"2012-10-17 00:00:00","2012-11-14 00:00:00",5.8000,1512
-1692535925,2014,"2014-02-07 00:00:00","2014-05-02 00:00:00",6.5385,978
-1692535925,2015,"2015-01-07 00:00:00","2015-01-21 00:00:00",2.5000,714
-1687925103,2016,"2016-12-03 00:00:00","2016-12-31 00:00:00",5.8000,4
-1684815598,2007,"2007-04-10 00:00:00","2007-12-08 00:00:00",15.1875,3315
-1684815598,2008,"2008-01-08 00:00:00","2008-12-13 00:00:00",20.0588,2944
-1684815598,2009,"2009-01-09 00:00:00","2009-05-19 00:00:00",9.3571,2787
-1684729402,2015,"2015-11-08 00:00:00","2015-12-28 00:00:00",6.3750,373
-1684729402,2016,"2016-02-21 00:00:00","2016-03-19 00:00:00",5.6000,291
-1676497970,2013,"2013-10-06 00:00:00","2013-12-22 00:00:00",19.5000,1109
-1672678800,2015,"2015-09-02 00:00:00","2015-09-05 00:00:00",0.6667,487
-1672678800,2016,"2016-07-01 00:00:00","2016-07-04 00:00:00",0.6667,184
-1662014669,2016,"2016-02-16 00:00:00","2016-05-27 00:00:00",7.8462,222
-1659381617,2016,"2016-07-14 00:00:00","2016-12-17 00:00:00",9.8125,18
-1654529054,2012,"2012-02-23 00:00:00","2012-12-19 00:00:00",13.0870,1477
-1654529054,2013,"2013-01-08 00:00:00","2013-05-29 00:00:00",10.1429,1316
-1654529054,2014,"2014-01-15 00:00:00","2014-06-11 00:00:00",6.7273,938
-1654529054,2015,"2015-01-22 00:00:00","2015-06-25 00:00:00",6.7391,559
-1654529054,2016,"2016-06-01 00:00:00","2016-06-04 00:00:00",1.0000,214
-1639105126,2015,"2015-06-23 00:00:00","2015-12-12 00:00:00",11.5333,389
-1639105126,2016,"2016-01-08 00:00:00","2016-12-18 00:00:00",10.1765,17
-1637233548,2016,"2016-12-02 00:00:00","2016-12-09 00:00:00",2.6667,26
-1618045617,2015,"2015-03-25 00:00:00","2015-08-25 00:00:00",6.6957,498
-1618045617,2016,"2016-03-02 00:00:00","2016-08-09 00:00:00",6.7083,148
-1611812415,2016,"2016-12-14 00:00:00","2016-12-27 00:00:00",2.8000,8
-1611812415,2017,"2017-01-02 00:00:00","2017-01-02 00:00:00",1.0000,2
-1608741591,2014,"2014-10-28 00:00:00","2014-12-30 00:00:00",6.4000,736
-1608741591,2015,"2015-01-06 00:00:00","2015-05-18 00:00:00",11.0833,597
-1593032777,2016,"2016-06-03 00:00:00","2016-06-17 00:00:00",1.5000,201
-1592447540,2015,"2015-09-08 00:00:00","2015-11-25 00:00:00",6.5833,406
-1592447540,2016,"2016-01-12 00:00:00","2016-02-08 00:00:00",7.0000,331
-1588979863,2014,"2014-10-13 00:00:00","2014-10-21 00:00:00",0.9000,806
-1588979863,2015,"2015-10-19 00:00:00","2015-12-21 00:00:00",6.4000,380
-1586898625,2012,"2012-03-23 00:00:00","2012-06-22 00:00:00",7.6667,1657
-1586898625,2013,"2013-04-09 00:00:00","2013-07-09 00:00:00",7.0769,1275
-1565695404,2015,"2015-07-05 00:00:00","2015-09-11 00:00:00",3.4500,481
-1565695404,2016,"2016-07-05 00:00:00","2016-09-06 00:00:00",6.4000,120
-1565067062,2015,"2015-12-03 00:00:00","2015-12-25 00:00:00",2.8750,376
-1565067062,2016,"2016-01-10 00:00:00","2016-12-20 00:00:00",43.2500,15
-1562456675,2015,"2015-11-25 00:00:00","2015-12-30 00:00:00",6.0000,371
-1562456675,2016,"2016-01-06 00:00:00","2016-12-21 00:00:00",8.3571,14
