,value,VALOR,p
398,423,1,0
399,429,2,0
400,434,1,0
401,438,2,0
402,439,1,0
403,442,1,0
404,446,1,0
405,453,1,0
406,454,1,0
407,459,2,0
408,460,1,0
409,462,1,0
410,464,1,0
411,466,1,0
412,468,1,0
413,471,1,0
414,473,1,0
415,485,1,0
416,488,1,0
417,491,1,0
418,493,1,0
419,494,2,0
420,495,2,0
421,502,1,0
422,523,2,0
423,528,1,0
424,532,1,0
425,534,1,0
426,543,1,0
427,547,1,0
428,563,2,0
429,565,1,0
430,569,1,0
431,572,1,0
432,579,1,0
433,588,1,0
434,591,1,0
435,601,1,0
436,604,1,0
437,611,1,0
438,637,1,0
439,642,1,0
440,650,1,0
441,653,1,0
442,660,1,0
443,662,1,0
444,666,1,0
445,740,1,0
446,823,1,0
447,891,1,0
448,915,1,0
449,1082,1,0
450,1163,1,0
